symbol,smiles,cxsmiles,monomer_type
X3015,CCCCCCCCCCCCCCCC(=O)NC(=O)CC[C@H](N)C=O,CCCCCCCCCCCCCCCC(=O)NC(=O)CC[C@H](N)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X3009,O=C[C@@H]1C[C@H]2C[C@H]2N1,[*]N1[C@@H]2C[C@@H]2C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
X3005,C[Si](C)(C)C[C@H](N)C=O,C[Si](C)(C)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone
X3028,CCNC(=S)NCCCC[C@H](N)C=O,CCNC(=S)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone
dPhe(3-CN),N#Cc1cccc(C[C@@H](N)C=O)c1,[*]N[C@H](Cc1cccc(c1)C#N)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X2863,O=C[C@H](Cc1ccccc1)NS(=O)(=O)c1ccc(C(=O)O)cc1,OC(=O)c1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2881,CC(C)C[C@@H](C=O)NC(=O)NC[C@H](O)CO,CC(C)C[C@H](NC(=O)NC[C@H](O)CO)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone
X2878,Cc1cc(C[C@@H](N)C=O)cc(C)c1O,Cc1cc(C[C@@H](N[*])C([*])=O)cc(C)c1O |$;;;;;;;_R1;;_R2;;;;;;$|,Backbone
X2875,Cc1ccc(S(=O)(=O)NCC=O)cc1,Cc1ccc(cc1)S(=O)(=O)NCC([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X2543,N[C@H](C=O)Cc1ccc(O)c(Oc2ccc(C[C@H](N)C(=O)O)cc2)c1,N[C@@H](Cc1ccc(O)c(Oc2ccc(C[C@H](N[*])C(O)=O)cc2)c1)C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;;;;;;;_R2;$|,Backbone
X2497,N=C(N)N1CCC(C[C@H](C=O)NS(=O)(=O)Cc2ccccc2)CC1,NC(=N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C([*])=O)CC1 |$;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
Hph_OBzl,N[C@@H](CCc1ccccc1)C(=O)OCc1ccccc1,[*]N[C@@H](CCc1ccccc1)C(=O)OCc1ccccc1 |$_R1;;;;;;;;;;;;;;;;;;;;$|,Backbone
X2508,COC(=O)Cn1cc(C[C@H](N)C=O)c2ccccc21,COC(=O)Cn1cc(C[C@H](N[*])C([*])=O)c2ccccc12 |$;;;;;;;;;;;_R1;;_R2;;;;;;;$|,Backbone
X1582,C[C@H](N)C(=O)OCCCCc1ccccc1,C[C@H](N[*])C(=O)OCCCCc1ccccc1 |$;;;_R1;;;;;;;;;;;;;$|,Backbone
X629,CCCCNC(=N)NCCCC[C@@H](N)C=O,CCCCNC(=N)NCCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1354,CCCN(CCC)[C@H](C=O)Cc1ccc(O)cc1,CCCN(CCC)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X43,O=C[C@@H]1C[C@@H](Oc2cccc(-c3ccccc3)c2)CN1,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1cccc(c1)-c1ccccc1 |$_R1;;;;;;;_R2;;;;;;;;;;;;;;$|,Backbone
X2215,N=C(N)c1cccc(C[C@H](N)C(=O)c2nc3ccccc3s2)c1,NC(=N)c1cccc(C[C@H](N[*])C(=O)c2nc3ccccc3s2)c1 |$;;;;;;;;;;;_R1;;;;;;;;;;;;$|,Backbone
X2234,N=C(N)NCCC[C@H](N)C(=O)c1cc2ccccc2s1,NC(=N)NCCC[C@H](N[*])C(=O)c1cc2ccccc2s1 |$;;;;;;;;;_R1;;;;;;;;;;;$|,Backbone
X6,CN=C(NC#N)NCCCC[C@H](N)C=O,"CN=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
dH,N[C@@H](C=O)Cc1cnc[nH]1,[*]N[C@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone
K,NCCCC[C@H](N)C=O,[*]N[C@@H](CCCCN[*])C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,Backbone
L,CC(C)C[C@H](N)C=O,CC(C)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone
X716,N[C@H](C(=O)O)c1csc2ccccc12,OC(=O)[C@@H](N[*])c1csc2ccccc12 |$;;;;;_R1;;;;;;;;;$|,Backbone
X878,O=C[C@@H]1C[C@@H](CCCc2ccccc2)CN1,[*]N1C[C@H](CCCc2ccccc2)C[C@H]1C([*])=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,Backbone
X743,N[C@]1(C=O)CCCC[C@@H]1O,O[C@H]1CCCC[C@]1(N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X811,N[C@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](N[*])C=O |$;;;;;;;;;;_R1;;$|,Backbone
X1114,CCOC(=O)[C@H](N)CCCc1ccccc1,CCOC(=O)[C@@H](CCCc1ccccc1)N[*] |$;;;;;;;;;;;;;;;;_R1$|,Backbone
X1091,N[C@H](Cc1ccc(O)c(O)c1)C(=O)O,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)N[*] |$;;;;;;;;;;;;;;_R1$|,Backbone
